FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
6 3
DATA
90.000000 297.000000 25.000000 30.000000
137.000000 273.000000 92.000000 65.000000
186.000000 249.000000 159.000000 98.000000
516.000000 281.000000 523.000000 70.000000
571.000000 309.000000 590.000000 35.000000
303.000000 32.000000 333.000000 351.000000
